"Sex","Race/Ethnicity","First Year","Last Year","Cause of Injury","Disp","ageRangLo","ageRangHi","Age in Years","Year","Injuries","Population","records","suppressed","cv","Number of$Cases (Sample)","Standard$Error","CV","Lower 95%$Confidence$Limit","Upper 95%$Confidence$Limit","ageadj"
"F","O","2020","2020","Overall All Injury Causes","All Cases","0","199","2","2020","6054","140,994","366",".","0.195","366","1180","19.5","3742","8366","."
"F","N","2020","2020","Overall All Injury Causes","All Cases","0","199","2","2020",".",".",".","1",".",".",".",".",".",".","."
"B","A","2020","2020","Overall All Injury Causes","All Cases","0","199","3","2020","269589","3,921,526","9153",".","0.107","9153","28854","10.7","213034","326144","."
"B","W","2020","2020","Overall All Injury Causes","All Cases","0","199","3","2020","145007","1,994,850","3824",".","0.141","3824","20502","14.1","104823","185191","."
"B","B","2020","2020","Overall All Injury Causes","All Cases","0","199","3","2020","29990","686,981","1892",".","0.187","1892","5620","18.7","18975","41005","."
"B","H","2020","2020","Overall All Injury Causes","All Cases","0","199","3","2020","38251","933,279","1746",".","0.294","1746","11261","29.4","16179","60323","."
"B","O","2020","2020","Overall All Injury Causes","All Cases","0","199","3","2020","12595","306,416","598",".","0.225","598","2831","22.5","7046","18145","."
"B","N","2020","2020","Overall All Injury Causes","All Cases","0","199","3","2020",".",".",".","1",".",".",".",".",".",".","."
"M","A","2020","2020","Overall All Injury Causes","All Cases","0","199","3","2020","156111","2,004,835","5144",".","0.11","5144","17200","11","122399","189823","."
"M","W","2020","2020","Overall All Injury Causes","All Cases","0","199","3","2020","85711","1,022,843","2195",".","0.149","2195","12788","14.9","60646","110776","."
"M","B","2020","2020","Overall All Injury Causes","All Cases","0","199","3","2020","16729","349,099","1031",".","0.188","1031","3148","18.8","10559","22899","."
"M","H","2020","2020","Overall All Injury Causes","All Cases","0","199","3","2020",".","474,946",".","1",".",".",".",".",".",".","."
"M","O","2020","2020","Overall All Injury Causes","All Cases","0","199","3","2020","6839","157,947","330",".","0.234","330","1603","23.4","3697","9980","."
"M","N","2020","2020","Overall All Injury Causes","All Cases","0","199","3","2020",".",".",".","1",".",".",".",".",".",".","."
"F","A","2020","2020","Overall All Injury Causes","All Cases","0","199","3","2020","113478","1,916,691","4009",".","0.106","4009","12074","10.6","89814","137142","."
"F","W","2020","2020","Overall All Injury Causes","All Cases","0","199","3","2020","59296","972,007","1629",".","0.137","1629","8126","13.7","43368","75224","."
"F","B","2020","2020","Overall All Injury Causes","All Cases","0","199","3","2020","13261","337,882","861",".","0.194","861","2567","19.4","8229","18293","."
"F","H","2020","2020","Overall All Injury Causes","All Cases","0","199","3","2020","15933","458,333","747",".","0.286","747","4562","28.6","6991","24876","."
"F","O","2020","2020","Overall All Injury Causes","All Cases","0","199","3","2020","5756","148,469","268",".","0.25","268","1439","25","2935","8578","."
"F","N","2020","2020","Overall All Injury Causes","All Cases","0","199","3","2020",".",".",".","1",".",".",".",".",".",".","."
"B","A","2020","2020","Overall All Injury Causes","All Cases","0","199","4","2020","222597","4,017,847","7775",".","0.105","7775","23319","10.5","176892","268303","."
"B","W","2020","2020","Overall All Injury Causes","All Cases","0","199","4","2020","116375","2,065,635","3182",".","0.142","3182","16497","14.2","84041","148709","."
"B","B","2020","2020","Overall All Injury Causes","All Cases","0","199","4","2020","26951","690,393","1581",".","0.174","1581","4693","17.4","17753","36150","."
"B","H","2020","2020","Overall All Injury Causes","All Cases","0","199","4","2020","30452","957,406","1531",".","0.294","1531","8938","29.4","12933","47971","."
"B","O","2020","2020","Overall All Injury Causes","All Cases","0","199","4","2020","9602","304,413","492",".","0.246","492","2365","24.6","4966","14238","."
"B","N","2020","2020","Overall All Injury Causes","All Cases","0","199","4","2020",".",".",".","1",".",".",".",".",".",".","."
"M","A","2020","2020","Overall All Injury Causes","All Cases","0","199","4","2020","129645","2,052,982","4446",".","0.107","4446","13901","10.7","102401","156890","."
"M","W","2020","2020","Overall All Injury Causes","All Cases","0","199","4","2020","67032","1,058,710","1813",".","0.138","1813","9244","13.8","48914","85150","."
"M","B","2020","2020","Overall All Injury Causes","All Cases","0","199","4","2020","14957","349,982","879",".","0.196","879","2931","19.6","9212","20702","."
"M","H","2020","2020","Overall All Injury Causes","All Cases","0","199","4","2020","17482","488,013","870",".","0.29","870","5066","29","7553","27412","."
"M","O","2020","2020","Overall All Injury Causes","All Cases","0","199","4","2020","4759","156,277","286",".","0.279","286","1328","27.9","2156","7362","."
"M","N","2020","2020","Overall All Injury Causes","All Cases","0","199","4","2020",".",".",".","1",".",".",".",".",".",".","."
"F","A","2020","2020","Overall All Injury Causes","All Cases","0","199","4","2020","92952","1,964,865","3329",".","0.106","3329","9891","10.6","73566","112338","."
"F","W","2020","2020","Overall All Injury Causes","All Cases","0","199","4","2020","49343","1,006,925","1369",".","0.151","1369","7455","15.1","34732","63953","."
"F","B","2020","2020","Overall All Injury Causes","All Cases","0","199","4","2020","11994","340,411","702",".","0.165","702","1981","16.5","8112","15876","."
"F","H","2020","2020","Overall All Injury Causes","All Cases","0","199","4","2020",".","469,393",".","1",".",".",".",".",".",".","."
"F","O","2020","2020","Overall All Injury Causes","All Cases","0","199","4","2020","4843","148,136","206",".","0.281","206","1360","28.1","2177","7509","."
"F","N","2020","2020","Overall All Injury Causes","All Cases","0","199","4","2020",".",".",".","1",".",".",".",".",".",".","."
"B","A","2020","2020","Overall All Injury Causes","All Cases","0","199","5","2020","201600","4,054,336","6786",".","0.103","6786","20755","10.3","160921","242279","."
"B","W","2020","2020","Overall All Injury Causes","All Cases","0","199","5","2020","108069","2,085,733","2911",".","0.134","2911","14534","13.4","79582","136557","."
"B","B","2020","2020","Overall All Injury Causes","All Cases","0","199","5","2020","24147","700,630","1418",".","0.235","1418","5669","23.5","13036","35259","."
"B","H","2020","2020","Overall All Injury Causes","All Cases","0","199","5","2020",".","957,378",".","1",".",".",".",".",".",".","."
"B","O","2020","2020","Overall All Injury Causes","All Cases","0","199","5","2020","8411","310,595","409",".","0.226","409","1897","22.6","4692","12130","."
"B","N","2020","2020","Overall All Injury Causes","All Cases","0","199","5","2020",".",".",".","1",".",".",".",".",".",".","."
"M","A","2020","2020","Overall All Injury Causes","All Cases","0","199","5","2020","120515","2,072,391","3863",".","0.105","3863","12659","10.5","95703","145328","."
"M","W","2020","2020","Overall All Injury Causes","All Cases","0","199","5","2020","64144","1,069,319","1639",".","0.132","1639","8438","13.2","47606","80682","."
"M","B","2020","2020","Overall All Injury Causes","All Cases","0","199","5","2020","13181","356,160","788",".","0.247","788","3256","24.7","6800","19562","."
"M","H","2020","2020","Overall All Injury Causes","All Cases","0","199","5","2020",".","487,119",".","1",".",".",".",".",".",".","."
"M","O","2020","2020","Overall All Injury Causes","All Cases","0","199","5","2020","4851","159,793","231",".","0.258","231","1252","25.8","2396","7305","."
"M","N","2020","2020","Overall All Injury Causes","All Cases","0","199","5","2020",".",".",".","1",".",".",".",".",".",".","."
"F","A","2020","2020","Overall All Injury Causes","All Cases","0","199","5","2020","81062","1,981,945","2922",".","0.104","2922","8422","10.4","64555","97568","."
"F","W","2020","2020","Overall All Injury Causes","All Cases","0","199","5","2020","43926","1,016,414","1272",".","0.144","1272","6313","14.4","31552","56299","."
"F","B","2020","2020","Overall All Injury Causes","All Cases","0","199","5","2020","10967","344,470","630",".","0.229","630","2512","22.9","6044","15890","."
"F","H","2020","2020","Overall All Injury Causes","All Cases","0","199","5","2020",".","470,259",".","1",".",".",".",".",".",".","."
"F","O","2020","2020","Overall All Injury Causes","All Cases","0","199","5","2020","3560","150,802","178",".","0.226","178","803","22.6","1986","5135","."
"F","N","2020","2020","Overall All Injury Causes","All Cases","0","199","5","2020",".",".",".","1",".",".",".",".",".",".","."
"U","A","2020","2020","Overall All Injury Causes","All Cases","0","199","5","2020",".",".",".","1",".",".",".",".",".",".","."
"U","N","2020","2020","Overall All Injury Causes","All Cases","0","199","5","2020",".",".",".","1",".",".",".",".",".",".","."
"B","A","2020","2020","Overall All Injury Causes","All Cases","0","199","6","2020","180060","4,040,169","5921",".","0.104","5921","18725","10.4","143359","216762","."
"B","W","2020","2020","Overall All Injury Causes","All Cases","0","199","6","2020","97438","2,088,448","2485",".","0.135","2485","13185","13.5","71596","123280","."
"B","B","2020","2020","Overall All Injury Causes","All Cases","0","199","6","2020","23418","699,171","1320",".","0.178","1320","4163","17.8","15259","31578","."
"B","H","2020","2020","Overall All Injury Causes","All Cases","0","199","6","2020",".","947,622",".","1",".",".",".",".",".",".","."
"B","O","2020","2020","Overall All Injury Causes","All Cases","0","199","6","2020","6126","304,928","349",".","0.207","349","1269","20.7","3638","8613","."
"B","N","2020","2020","Overall All Injury Causes","All Cases","0","199","6","2020",".",".",".","1",".",".",".",".",".",".","."
"M","A","2020","2020","Overall All Injury Causes","All Cases","0","199","6","2020","102270","2,067,201","3363",".","0.107","3363","10914","10.7","80878","123661","."
"M","W","2020","2020","Overall All Injury Causes","All Cases","0","199","6","2020","54944","1,072,162","1415",".","0.136","1415","7454","13.6","40333","69554","."
"M","B","2020","2020","Overall All Injury Causes","All Cases","0","199","6","2020","13394","355,334","761",".","0.182","761","2434","18.2","8623","18166","."
"M","H","2020","2020","Overall All Injury Causes","All Cases","0","199","6","2020",".","483,310",".","1",".",".",".",".",".",".","."
"M","O","2020","2020","Overall All Injury Causes","All Cases","0","199","6","2020","3865","156,395","209",".","0.23","209","888","23","2126","5605","."
"M","N","2020","2020","Overall All Injury Causes","All Cases","0","199","6","2020",".",".",".","1",".",".",".",".",".",".","."
"F","A","2020","2020","Overall All Injury Causes","All Cases","0","199","6","2020","77791","1,972,968","2558",".","0.107","2558","8359","10.7","61408","94174","."
"F","W","2020","2020","Overall All Injury Causes","All Cases","0","199","6","2020","42495","1,016,286","1070",".","0.144","1070","6103","14.4","30533","54456","."
"F","B","2020","2020","Overall All Injury Causes","All Cases","0","199","6","2020","10024","343,837","559",".","0.186","559","1861","18.6","6376","13672","."
"F","H","2020","2020","Overall All Injury Causes","All Cases","0","199","6","2020","9978","464,312","480",".","0.296","480","2951","29.6","4194","15761","."
"F","O","2020","2020","Overall All Injury Causes","All Cases","0","199","6","2020","2261","148,533","140",".","0.228","140","516","22.8","1250","3272","."
"F","N","2020","2020","Overall All Injury Causes","All Cases","0","199","6","2020",".",".",".","1",".",".",".",".",".",".","."
"B","A","2020","2020","Overall All Injury Causes","All Cases","0","199","7","2020","164034","4,029,753","5284",".","0.107","5284","17581","10.7","129574","198493","."
"B","W","2020","2020","Overall All Injury Causes","All Cases","0","199","7","2020","85958","2,079,522","2204",".","0.14","2204","12026","14","62387","109528","."
"B","B","2020","2020","Overall All Injury Causes","All Cases","0","199","7","2020","19745","694,619","1163",".","0.195","1163","3854","19.5","12190","27299","."
"B","H","2020","2020","Overall All Injury Causes","All Cases","0","199","7","2020","21719","945,960","949",".","0.285","949","6199","28.5","9570","33869","."
"B","O","2020","2020","Overall All Injury Causes","All Cases","0","199","7","2020","6700","309,652","305",".","0.25","305","1678","25","3411","9989","."
"B","N","2020","2020","Overall All Injury Causes","All Cases","0","199","7","2020",".",".",".","1",".",".",".",".",".",".","."
"M","A","2020","2020","Overall All Injury Causes","All Cases","0","199","7","2020","94055","2,059,255","3022",".","0.107","3022","10098","10.7","74263","113846","."
"M","W","2020","2020","Overall All Injury Causes","All Cases","0","199","7","2020","48420","1,065,843","1227",".","0.136","1227","6566","13.6","35550","61290","."
"M","B","2020","2020","Overall All Injury Causes","All Cases","0","199","7","2020","11497","352,949","660",".","0.227","660","2615","22.7","6371","16623","."
"M","H","2020","2020","Overall All Injury Causes","All Cases","0","199","7","2020","12881","481,195","553",".","0.278","553","3580","27.8","5863","19899","."
"M","O","2020","2020","Overall All Injury Causes","All Cases","0","199","7","2020","3478","159,268","176",".","0.273","176","951","27.3","1614","5342","."
"M","N","2020","2020","Overall All Injury Causes","All Cases","0","199","7","2020",".",".",".","1",".",".",".",".",".",".","."
"F","A","2020","2020","Overall All Injury Causes","All Cases","0","199","7","2020","69979","1,970,498","2262",".","0.117","2262","8203","11.7","53902","86056","."
"F","W","2020","2020","Overall All Injury Causes","All Cases","0","199","7","2020","37538","1,013,679","977",".","0.153","977","5752","15.3","26264","48811","."
"F","B","2020","2020","Overall All Injury Causes","All Cases","0","199","7","2020","8247","341,670","503",".","0.173","503","1425","17.3","5454","11041","."
"F","H","2020","2020","Overall All Injury Causes","All Cases","0","199","7","2020",".","464,765",".","1",".",".",".",".",".",".","."
"F","O","2020","2020","Overall All Injury Causes","All Cases","0","199","7","2020","3222","150,384","129",".","0.266","129","856","26.6","1545","4899","."
"F","N","2020","2020","Overall All Injury Causes","All Cases","0","199","7","2020",".",".",".","1",".",".",".",".",".",".","."
"B","A","2020","2020","Overall All Injury Causes","All Cases","0","199","8","2020","160468","4,034,785","5052",".","0.099","5052","15940","9.9","129226","191710","."
"B","W","2020","2020","Overall All Injury Causes","All Cases","0","199","8","2020","88874","2,085,831","2131",".","0.138","2131","12254","13.8","64857","112891","."
"B","B","2020","2020","Overall All Injury Causes","All Cases","0","199","8","2020","19523","693,657","1106",".","0.183","1106","3563","18.3","12539","26507","."
"B","H","2020","2020","Overall All Injury Causes","All Cases","0","199","8","2020","19390","955,581","891",".","0.289","891","5596","28.9","8422","30358","."
"B","O","2020","2020","Overall All Injury Causes","All Cases","0","199","8","2020","5660","299,716","281",".","0.229","281","1293","22.9","3125","8195","."
"B","N","2020","2020","Overall All Injury Causes","All Cases","0","199","8","2020",".",".",".","1",".",".",".",".",".",".","."
"M","A","2020","2020","Overall All Injury Causes","All Cases","0","199","8","2020","90319","2,061,955","2780",".","0.104","2780","9359","10.4","71976","108662","."
"M","W","2020","2020","Overall All Injury Causes","All Cases","0","199","8","2020","49944","1,069,243","1188",".","0.145","1188","7218","14.5","35796","64092","."
"M","B","2020","2020","Overall All Injury Causes","All Cases","0","199","8","2020","10017","353,050","593",".","0.181","593","1810","18.1","6470","13564","."
"M","H","2020","2020","Overall All Injury Causes","All Cases","0","199","8","2020",".","486,085",".","1",".",".",".",".",".",".","."
"M","O","2020","2020","Overall All Injury Causes","All Cases","0","199","8","2020","3154","153,577","152",".","0.231","152","728","23.1","1727","4581","."
"M","N","2020","2020","Overall All Injury Causes","All Cases","0","199","8","2020",".",".",".","1",".",".",".",".",".",".","."
"F","A","2020","2020","Overall All Injury Causes","All Cases","0","199","8","2020","70142","1,972,830","2271",".","0.102","2271","7149","10.2","56130","84154","."
"F","W","2020","2020","Overall All Injury Causes","All Cases","0","199","8","2020","38930","1,016,588","943",".","0.141","943","5506","14.1","28139","49721","."
"F","B","2020","2020","Overall All Injury Causes","All Cases","0","199","8","2020","9500","340,607","512",".","0.197","512","1874","19.7","5826","13174","."
"F","H","2020","2020","Overall All Injury Causes","All Cases","0","199","8","2020","8453","469,496","416",".","0.292","416","2471","29.2","3610","13296","."
"F","O","2020","2020","Overall All Injury Causes","All Cases","0","199","8","2020","2506","146,139","129",".","0.271","129","680","27.1","1172","3839","."
"F","N","2020","2020","Overall All Injury Causes","All Cases","0","199","8","2020",".",".",".","1",".",".",".",".",".",".","."
"U","A","2020","2020","Overall All Injury Causes","All Cases","0","199","8","2020",".",".",".","1",".",".",".",".",".",".","."
"U","B","2020","2020","Overall All Injury Causes","All Cases","0","199","8","2020",".",".",".","1",".",".",".",".",".",".","."
"B","A","2020","2020","Overall All Injury Causes","All Cases","0","199","9","2020","155925","4,078,668","4778",".","0.1","4778","15538","10","125470","186380","."
"B","W","2020","2020","Overall All Injury Causes","All Cases","0","199","9","2020","82226","2,103,026","2001",".","0.132","2001","10876","13.2","60910","103542","."
"B","B","2020","2020","Overall All Injury Causes","All Cases","0","199","9","2020","20872","697,306","1078",".","0.187","1078","3896","18.7","13235","28509","."
"B","H","2020","2020","Overall All Injury Causes","All Cases","0","199","9","2020","19629","983,011","814",".","0.284","814","5569","28.4","8715","30544","."
"B","O","2020","2020","Overall All Injury Causes","All Cases","0","199","9","2020","3525","295,325","250",".","0.235","250","827","23.5","1905","5146","."
"B","N","2020","2020","Overall All Injury Causes","All Cases","0","199","9","2020",".",".",".","1",".",".",".",".",".",".","."
"M","A","2020","2020","Overall All Injury Causes","All Cases","0","199","9","2020","86172","2,085,951","2677",".","0.101","2677","8745","10.1","69032","103312","."
"M","W","2020","2020","Overall All Injury Causes","All Cases","0","199","9","2020","44521","1,079,116","1118",".","0.129","1118","5742","12.9","33266","55775","."
"M","B","2020","2020","Overall All Injury Causes","All Cases","0","199","9","2020","11350","354,884","605",".","0.18","605","2046","18","7339","15361","."
"M","H","2020","2020","Overall All Injury Causes","All Cases","0","199","9","2020","11311","500,496","446",".","0.295","446","3340","29.5","4764","17859","."
"M","O","2020","2020","Overall All Injury Causes","All Cases","0","199","9","2020","1921","151,455","143",".","0.266","143","512","26.6","918","2924","."
"M","N","2020","2020","Overall All Injury Causes","All Cases","0","199","9","2020",".",".",".","1",".",".",".",".",".",".","."
"F","A","2020","2020","Overall All Injury Causes","All Cases","0","199","9","2020","69753","1,992,717","2101",".","0.105","2101","7322","10.5","55402","84103","."
"F","W","2020","2020","Overall All Injury Causes","All Cases","0","199","9","2020","37705","1,023,910","883",".","0.148","883","5594","14.8","26741","48669","."
"F","B","2020","2020","Overall All Injury Causes","All Cases","0","199","9","2020","9522","342,422","473",".","0.202","473","1928","20.2","5743","13301","."
"F","H","2020","2020","Overall All Injury Causes","All Cases","0","199","9","2020","8318","482,515","368",".","0.279","368","2322","27.9","3766","12869","."
"F","O","2020","2020","Overall All Injury Causes","All Cases","0","199","9","2020","1604","143,870","107",".","0.232","107","373","23.2","873","2335","."
"F","N","2020","2020","Overall All Injury Causes","All Cases","0","199","9","2020",".",".",".","1",".",".",".",".",".",".","."
"B","A","2020","2020","Overall All Injury Causes","All Cases","0","199","10","2020","156581","4,074,173","4884",".","0.097","4884","15129","9.7","126929","186233","."
"B","W","2020","2020","Overall All Injury Causes","All Cases","0","199","10","2020","85916","2,099,646","2090",".","0.142","2090","12191","14.2","62021","109811","."
"B","B","2020","2020","Overall All Injury Causes","All Cases","0","199","10","2020","21114","692,388","1137",".","0.178","1137","3764","17.8","13737","28491","."
"B","H","2020","2020","Overall All Injury Causes","All Cases","0","199","10","2020",".","992,916",".","1",".",".",".",".",".",".","."
"B","O","2020","2020","Overall All Injury Causes","All Cases","0","199","10","2020","4580","289,223","236",".","0.25","236","1143","25","2340","6820","."
"B","N","2020","2020","Overall All Injury Causes","All Cases","0","199","10","2020",".",".",".","1",".",".",".",".",".",".","."
"M","A","2020","2020","Overall All Injury Causes","All Cases","0","199","10","2020","88370","2,079,208","2771",".","0.096","2771","8455","9.6","71797","104942","."
"M","W","2020","2020","Overall All Injury Causes","All Cases","0","199","10","2020","47091","1,074,929","1147",".","0.139","1147","6555","13.9","34242","59940","."
"M","B","2020","2020","Overall All Injury Causes","All Cases","0","199","10","2020","11895","351,929","648",".","0.186","648","2210","18.6","7564","16226","."
"M","H","2020","2020","Overall All Injury Causes","All Cases","0","199","10","2020",".","505,223",".","1",".",".",".",".",".",".","."
"M","O","2020","2020","Overall All Injury Causes","All Cases","0","199","10","2020","2709","147,127","133",".","0.288","133","780","28.8","1180","4238","."
"M","N","2020","2020","Overall All Injury Causes","All Cases","0","199","10","2020",".",".",".","1",".",".",".",".",".",".","."
"F","A","2020","2020","Overall All Injury Causes","All Cases","0","199","10","2020","68211","1,994,965","2113",".","0.106","2113","7228","10.6","54045","82377","."
"F","W","2020","2020","Overall All Injury Causes","All Cases","0","199","10","2020","38825","1,024,717","943",".","0.156","943","6061","15.6","26945","50705","."
"F","B","2020","2020","Overall All Injury Causes","All Cases","0","199","10","2020","9219","340,459","489",".","0.184","489","1701","18.4","5886","12552","."
"F","H","2020","2020","Overall All Injury Causes","All Cases","0","199","10","2020",".","487,693",".","1",".",".",".",".",".",".","."
"F","O","2020","2020","Overall All Injury Causes","All Cases","0","199","10","2020","1871","142,096","103",".","0.279","103","522","27.9","848","2895","."
"F","N","2020","2020","Overall All Injury Causes","All Cases","0","199","10","2020",".",".",".","1",".",".",".",".",".",".","."
"B","A","2020","2020","Overall All Injury Causes","All Cases","0","199","11","2020","167326","4,072,994","5047",".","0.102","5047","17025","10.2","133957","200695","."
"B","W","2020","2020","Overall All Injury Causes","All Cases","0","199","11","2020","88845","2,108,800","2097",".","0.142","2097","12619","14.2","64113","113578","."
"B","B","2020","2020","Overall All Injury Causes","All Cases","0","199","11","2020","21290","695,277","1150",".","0.2","1150","4262","20","12936","29644","."
"B","H","2020","2020","Overall All Injury Causes","All Cases","0","199","11","2020","21509","986,283","872",".","0.283","872","6086","28.3","9580","33437","."
