INDICATOR;PANEL;PANEL_NUM;UNIT;UNIT_NUM;STUB_NAME;STUB_NAME_NUM;STUB_LABEL;STUB_LABEL_NUM;YEAR;YEAR_NUM;AGE;AGE_NUM;ESTIMATE;SE;FLAG
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Total;0;All persons;0.1;2008;12;All ages;0.1;10.4;0.2;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Total;0;All persons;0.1;2009;13;All ages;0.1;11.4;0.2;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Total;0;All persons;0.1;2010;14;All ages;0.1;10.9;0.2;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Total;0;All persons;0.1;2011;15;All ages;0.1;10.3;0.2;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Total;0;All persons;0.1;2012;16;All ages;0.1;9.6;0.1;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Total;0;All persons;0.1;2013;17;All ages;0.1;9.1;0.1;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Total;0;All persons;0.1;2014;18;All ages;0.1;8.2;0.1;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Total;0;All persons;0.1;2015;19;All ages;0.1;7.3;0.1;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Total;0;All persons;0.1;2016;20;All ages;0.1;7.2;0.1;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Total;0;All persons;0.1;2017;21;All ages;0.1;7.4;0.1;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Total;0;All persons;0.1;2018;22;All ages;0.1;8.3;0.1;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Age;1;Under 19 years;1.1;1997;1;Under 19 years;1.1;4.5;0.2;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Age;1;Under 19 years;1.1;1998;2;Under 19 years;1.1;4.4;0.2;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Age;1;Under 19 years;1.1;1999;3;Under 19 years;1.1;4.3;0.2;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Age;1;Under 19 years;1.1;2000;4;Under 19 years;1.1;4.7;0.2;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Age;1;Under 19 years;1.1;2001;5;Under 19 years;1.1;4.7;0.2;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Age;1;Under 19 years;1.1;2002;6;Under 19 years;1.1;4.0;0.2;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Age;1;Under 19 years;1.1;2003;7;Under 19 years;1.1;4.3;0.2;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Age;1;Under 19 years;1.1;2004;8;Under 19 years;1.1;4.5;0.2;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Age;1;Under 19 years;1.1;2005;9;Under 19 years;1.1;4.3;0.2;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Age;1;Under 19 years;1.1;2006;10;Under 19 years;1.1;4.8;0.2;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Age;1;Under 19 years;1.1;2007;11;Under 19 years;1.1;4.2;0.2;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Age;1;Under 19 years;1.1;2008;12;Under 19 years;1.1;5.4;0.3;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Age;1;Under 19 years;1.1;2009;13;Under 19 years;1.1;5.4;0.3;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Age;1;Under 19 years;1.1;2010;14;Under 19 years;1.1;4.5;0.2;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Age;1;Under 19 years;1.1;2011;15;Under 19 years;1.1;4.0;0.2;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Age;1;Under 19 years;1.1;2012;16;Under 19 years;1.1;3.4;0.2;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Age;1;Under 19 years;1.1;2013;17;Under 19 years;1.1;3.2;0.2;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Age;1;Under 19 years;1.1;2014;18;Under 19 years;1.1;2.9;0.2;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Age;1;Under 19 years;1.1;2015;19;Under 19 years;1.1;2.8;0.2;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Age;1;Under 19 years;1.1;2016;20;Under 19 years;1.1;2.6;0.2;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Age;1;Under 19 years;1.1;2017;21;Under 19 years;1.1;2.8;0.2;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Age;1;Under 19 years;1.1;2018;22;Under 19 years;1.1;2.9;0.2;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Age;1;Under 18 years;1.2;1997;1;Under 18 years;1.2;4.4;0.2;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Age;1;Under 18 years;1.2;1998;2;Under 18 years;1.2;4.3;0.2;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Age;1;Under 18 years;1.2;1999;3;Under 18 years;1.2;4.2;0.2;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Age;1;Under 18 years;1.2;2000;4;Under 18 years;1.2;4.6;0.2;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Age;1;Under 18 years;1.2;2001;5;Under 18 years;1.2;4.7;0.2;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Age;1;Under 18 years;1.2;2002;6;Under 18 years;1.2;4.0;0.2;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Age;1;Under 18 years;1.2;2003;7;Under 18 years;1.2;4.3;0.2;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Age;1;Under 18 years;1.2;2004;8;Under 18 years;1.2;4.4;0.2;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Age;1;Under 18 years;1.2;2005;9;Under 18 years;1.2;4.2;0.2;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Age;1;Under 18 years;1.2;2006;10;Under 18 years;1.2;4.7;0.3;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Age;1;Under 18 years;1.2;2007;11;Under 18 years;1.2;4.1;0.2;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Age;1;Under 18 years;1.2;2008;12;Under 18 years;1.2;5.4;0.3;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Age;1;Under 18 years;1.2;2009;13;Under 18 years;1.2;5.2;0.3;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Age;1;Under 18 years;1.2;2010;14;Under 18 years;1.2;4.4;0.2;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Age;1;Under 18 years;1.2;2011;15;Under 18 years;1.2;3.8;0.2;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Age;1;Under 18 years;1.2;2012;16;Under 18 years;1.2;3.2;0.2;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Age;1;Under 18 years;1.2;2013;17;Under 18 years;1.2;3.1;0.2;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Age;1;Under 18 years;1.2;2014;18;Under 18 years;1.2;2.8;0.2;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Age;1;Under 18 years;1.2;2015;19;Under 18 years;1.2;2.7;0.2;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Age;1;Under 18 years;1.2;2016;20;Under 18 years;1.2;2.4;0.2;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Age;1;Under 18 years;1.2;2017;21;Under 18 years;1.2;2.6;0.2;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Age;1;Under 18 years;1.2;2018;22;Under 18 years;1.2;2.8;0.2;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Age;1;Under 6 years;1.21;1997;1;Under 6 years;1.21;3.3;0.2;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Age;1;Under 6 years;1.21;1998;2;Under 6 years;1.21;3.4;0.2;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Age;1;Under 6 years;1.21;1999;3;Under 6 years;1.21;4.1;0.3;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Age;1;Under 6 years;1.21;2000;4;Under 6 years;1.21;3.6;0.3;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Age;1;Under 6 years;1.21;2001;5;Under 6 years;1.21;3.7;0.3;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Age;1;Under 6 years;1.21;2002;6;Under 6 years;1.21;3.5;0.3;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Age;1;Under 6 years;1.21;2003;7;Under 6 years;1.21;3.4;0.2;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Age;1;Under 6 years;1.21;2004;8;Under 6 years;1.21;3.7;0.3;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Age;1;Under 6 years;1.21;2005;9;Under 6 years;1.21;3.3;0.3;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Age;1;Under 6 years;1.21;2006;10;Under 6 years;1.21;4.2;0.4;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Age;1;Under 6 years;1.21;2007;11;Under 6 years;1.21;3.1;0.3;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Age;1;Under 6 years;1.21;2008;12;Under 6 years;1.21;4.2;0.3;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Age;1;Under 6 years;1.21;2009;13;Under 6 years;1.21;4.4;0.4;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Age;1;Under 6 years;1.21;2010;14;Under 6 years;1.21;3.7;0.3;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Age;1;Under 6 years;1.21;2011;15;Under 6 years;1.21;2.9;0.2;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Age;1;Under 6 years;1.21;2012;16;Under 6 years;1.21;2.3;0.2;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Age;1;Under 6 years;1.21;2013;17;Under 6 years;1.21;2.2;0.2;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Age;1;Under 6 years;1.21;2014;18;Under 6 years;1.21;2.1;0.2;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Age;1;Under 6 years;1.21;2015;19;Under 6 years;1.21;2.2;0.2;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Age;1;Under 6 years;1.21;2016;20;Under 6 years;1.21;1.7;0.2;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Age;1;Under 6 years;1.21;2017;21;Under 6 years;1.21;2.0;0.2;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Age;1;Under 6 years;1.21;2018;22;Under 6 years;1.21;2.8;0.3;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Age;1;6-17 years;1.22;1997;1;6-17 years;1.22;4.9;0.2;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Age;1;6-17 years;1.22;1998;2;6-17 years;1.22;4.8;0.2;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Age;1;6-17 years;1.22;1999;3;6-17 years;1.22;4.3;0.2;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Age;1;6-17 years;1.22;2000;4;6-17 years;1.22;5.0;0.2;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Age;1;6-17 years;1.22;2001;5;6-17 years;1.22;5.2;0.2;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Age;1;6-17 years;1.22;2002;6;6-17 years;1.22;4.2;0.2;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Age;1;6-17 years;1.22;2003;7;6-17 years;1.22;4.7;0.2;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Age;1;6-17 years;1.22;2004;8;6-17 years;1.22;4.7;0.2;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Age;1;6-17 years;1.22;2005;9;6-17 years;1.22;4.7;0.2;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Age;1;6-17 years;1.22;2006;10;6-17 years;1.22;5.0;0.3;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Age;1;6-17 years;1.22;2007;11;6-17 years;1.22;4.5;0.3;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Age;1;6-17 years;1.22;2008;12;6-17 years;1.22;6.0;0.3;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Age;1;6-17 years;1.22;2009;13;6-17 years;1.22;5.7;0.3;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Age;1;6-17 years;1.22;2010;14;6-17 years;1.22;4.8;0.2;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Age;1;6-17 years;1.22;2011;15;6-17 years;1.22;4.2;0.2;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Age;1;6-17 years;1.22;2012;16;6-17 years;1.22;3.6;0.2;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Age;1;6-17 years;1.22;2013;17;6-17 years;1.22;3.5;0.2;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Age;1;6-17 years;1.22;2014;18;6-17 years;1.22;3.2;0.2;
